Unnamed: 0,HR Data Sheet,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Country,AJP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local Employee Expense,,,,,,,,,,,,,,,,,,,,FTE by Contract type,,,,,,,,,,,
,Location,Department,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,,,Department,Contract type,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00
,Location,Type,Department,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,,,,,,,,,,,,,,,
,AJP,Regional,DM,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,IM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,PG,0,0,0,0,0,0,1.2,0.2,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,CG,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,D2C,0,0,0,1,4,2.5,3.3,2.3,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,
,AJP,Regional,POKKT,1,1,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,Corporate,13,14,14.6231,14,11,10.0366766666666,11.4346999999999,13.1428,10.1622999999999,8.14737666666667,8.2595,8.21817666666666,,,,,,,,,,,,,,,,,
,AJP,Regional,[Dept 1],0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,[Dept 2],0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,[Dept 3],0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,[Dept 4],0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,[Dept 5],0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,[Dept 6],0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
