(千円),Unnamed: 1,Unnamed: 2,Done,PMとGROVEには韓国案件が含まれていないため、ピュアなJP業績になります,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
売上高,19752,18873,26930.065,31232.544,30096.963,19622.511,0,0,0,0,0,0,0,0,,,26930.065
原価,10008,9291,17057.715,16059.895,17485.947,6611.396,0,0,0,0,0,0,0,0,,,17057.715
粗利,9744,9582,9872.349999999999,15172.649000000001,12611.016,13011.114999999998,0,0,0,0,0,0,0,0,,,9872.349999999999
人件費,4159,3553,6652.954899999983,6973.813,6433.0815,6664.5677000000005,0,0,0,0,0,0,0,0,0,,6652.954899999983
その他販管費,-347,1882,319.5540000000001,-77.06800000000021,33.41699999999946,605.6210000000001,0,0,0,0,0,0,0,0,0,,319.5540000000001
管理部門コスト,4535,5648,3353.643190661894,3999.4620392114284,4092.7352060490784,4429.599249409836,0,0,0,0,0,0,0,0,0,,3353.643190661894
エンジニアコスト,631,457,1065.4504011800434,1114.359401385073,968.426213221692,1091.5725310989287,0,0,0,0,0,0,0,0,0,,1065.4504011800434
営業利益,766,-1958,-1519.2524918419222,3162.0825594034995,1083.3560807292288,219.7545194912309,0,0,0,0,0,0,0,0,,,-1519.2524918419222
粗利率,0.493,0.508,0.36659213410736285,0.485796129831755,0.41901290837882876,0.6630708475587044,0,0,0,0,0,0,0,0,,,
営業利益率,0.039,-0.104,-0.05641473542087337,0.10124319553999506,0.035995528210910475,0.0111991028819518,0,0,0,0,0,0,0,0,,,
1人当たり粗利益,1121,1430,873.659292035398,1342.7123008849558,1025.2858536585366,1057.8142276422761,0,0,0,0,0,0,0,0,,,
1人当たり営業利益,88,-292,-134.4471231718515,279.8303149914601,88.0777301405877,17.86622109684804,0,0,0,0,0,0,0,0,,,
"人数(正社員=1, Intern&Part Time=0.3)",9,7,11.3,11.3,12.3,12.3,0,0,0,0,0,0,0,0,,,
前月比_売上,1.126,0.956,1.426909606315901,1.159764894737536,0.9636410982083303,0.6519764469258907,0,0,0,0,0,0,0,0,,,
前月比_粗利,1.181,0.983,1.0303016071801292,1.5368832142296418,0.8311677150113997,1.0317261511681532,0,0,0,0,0,0,0,0,,,
前月比_人件費,0.958,0.854,1.872489417393747,1.0482279084741755,0.922462575351533,1.0359837194663242,0,0,0,0,0,0,0,0,,,
前月比_販管費(人件費以外),-0.236,-5.418,0.16979489904357073,-0.2411736357548339,-0.43360408989463034,18.123140916300382,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,,,
BC,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,4月（見込み）,,"累計
（1月）"
売上高,53815,62143,39375.23031895602,21186.34532429245,52209.0127253193,42450.72062986994,50756.10567083379,34264.247385919334,135975.53667664193,143970.3702556746,0,0,0,0,73703.116,,39375.23031895602
原価,21535,16279,17209.415679180056,7827.807914762274,19609.97879206082,16600.199113425253,23929.770800793827,13131.597840964705,51442.22659470946,74581.59870894314,0,0,0,0,22631.122999999992,,17209.415679180056
粗利,32279,45864,22165.814639775963,13358.537409530178,32599.033933258477,25850.521516444685,26826.334870039966,21132.649544954627,84533.31008193248,69388.77154673147,0,0,0,0,51071.993,,22165.814639775963
人件費,3465,4283,4814.479899999999,4119.41791,3688.16103,4794.03262,4769.4271100000005,3413.2048,12268.2119,13976.7925,0,0,0,0,12268.2119,,4814.479899999999
その他販管費,13733,19916,11734.358,7222.8060000000005,14157.332000000002,11478.066,14003.881999999998,11552.720000000001,46235.839,37369.958,0,0,0,0,46235.839,,11734.358
管理部門コスト,2530,5648,2248.301191250004,2444.637429693847,2400.6359270595963,3071.9090729647073,4395.013763984897,3109.331950630728,12169.712843096166,13608.35898818872,0,0,0,0,12169.7128430961,,2248.301191250004
エンジニアコスト,982,1123,1216.0290717131227,809.1671600827394,1157.9349839409672,1137.6230629280667,1219.4322954978934,1047.1797159740959,5915.047867758052,5087.770235119976,0,0,0,0,5915.04786775805,,1216.0290717131227
営業利益,11570,14893,2152.646476812839,-1237.491090246409,11194.969992257913,5368.8907605519125,2438.5797005571767,2010.2130783498033,7944.498471078259,-654.1081765772105,0,0,0,0,-25516.818610854156,,2152.646476812839
粗利率,0.6,0.738,0.5629380313517786,0.6305258035331446,0.6243947592873986,0.6089536557420718,0.5285341441286994,0.6167551064798508,0.6216802827037764,0.4819656393430474,0,0,0,0,,,
営業利益率,0.215,0.24,0.05467006692724061,-0.058409842344422216,0.21442600439806433,0.12647348928098426,0.04804505129633042,0.058667947838127246,0.058425939439171015,-0.004543352742759434,0,0,0,0,,,
